=== BAT DAU DONG BO CHI TIET DS DON VAY ===
JobId: sync_loan_details_20260624_161620
Input file: output/loans/list_loan_all.txt
Master file: output/loans/list_loan_detail_all.txt
Existing detail count before run: 0
Invalid master lines: 0
Total input: 66484
Already processed: 0
Need sync: 66484
Skipped missing/invalid: 0
API method: GET
API endpoint: /digital-sale-admin/api/v1/admin/loans/detail
Concurrency: 1
Delay: 500ms
Timeout: 15000ms
Max retries: 0
[6100/66484] success: 6100 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6150/66484] success: 6150 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6200/66484] success: 6200 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6250/66484] success: 6250 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6300/66484] success: 6300 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6350/66484] success: 6350 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6400/66484] success: 6400 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6450/66484] success: 6450 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6500/66484] success: 6500 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6550/66484] success: 6550 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6600/66484] success: 6600 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6650/66484] success: 6650 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6700/66484] success: 6700 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6750/66484] success: 6750 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6800/66484] success: 6800 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6850/66484] success: 6850 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6900/66484] success: 6900 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6950/66484] success: 6950 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7000/66484] success: 7000 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7050/66484] success: 7050 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7100/66484] success: 7100 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7150/66484] success: 7150 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7200/66484] success: 7200 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7250/66484] success: 7250 | failed: 0 | skipped: 0 | speed: 1.6 req/s
[7300/66484] success: 7300 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7350/66484] success: 7350 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7400/66484] success: 7400 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7450/66484] success: 7450 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[7500/66484] success: 7500 | failed: 0 | skipped: 0 | speed: 1.59 req/s
